class_id,name,description
เห็ดเผาะ,0,(Astraeus odoratus / Astraeus hygrometricus)"เป็นเห็ดไม่มีก้านดอก มีลักษณะเป็นรูปกลมเมื่ออ่อน และเมื่อแก่เปลือกนอกจะแตกออกเป็นแฉกๆ มีทั้งชนิด ""เห็ดเผาะหนัง"" ที่มีผิวเรียบและแข็ง และ ""เห็ดเผาะฝ้าย"" ที่มีผิวนุ่มกว่า เมื่อผ่าดูจะพบเนื้อในที่ตอนแรกเป็นสีขาว เมื่อแก่ขึ้นจะเปลี่ยนเป็นสีน้ำตาลถึงดำ และเมื่อเห็ดสุกเต็มที่ภายในจะมีสปอร์สีน้ำตาลแดงเป็นผง"พบในธรรมชาติ ใช้ประกอบอาหาร ปลอดภัย
เห็ดโคน,1,(Termitomyces spp.) เป็นเห็ดป่าที่พบเติบโตบริเวณจอมปลวก มีรูปร่างคล้ายเห็ดทั่วไป แต่มีลักษณะเด่นคือ หมวกดอกมีปุ่มหรือยอดแหลมที่กลางหมวก (ยกเว้นเห็ดโคนข้าวตอก) เนื้อเห็ดแน่น สีขาว และ มีรากเทียม (หรือฐานดอก) ที่โคนก้านส่วนใหญ่มีสีน้ำตาลแกมเทาถึงน้ำตาลแกมเหลือง และมีกลิ่นเฉพาะตัว นิยมนำมาประกอบอาหาร พบในธรรมชาติ ใช้ประกอบอาหาร ปลอดภัย
เห็ดตับเต่า,2,(Phlebopus portentosus) เป็นเห็ดที่มีลักษณะดอกใหญ่ หมวกเห็ดมนทรงกระทะคว่ำ ผิวมัน เนื้อแข็ง สีน้ำตาลเข้ม ด้านล่างหมวกมีรูพรุนสีเหลือง ก้านอวบใหญ่ มีลักษณะโป่งเป็นกระเปาะที่โคน เมื่อผ่าเนื้อในจะเปลี่ยนเป็นสีน้ำเงินอมเขียวเมื่อสัมผัสอากาศ เห็ดชนิดนี้เป็นเห็ดกินได้ อาศัยอยู่ร่วมกับรากต้นไม้ (ไมคอร์ไรซา) ในป่าธรรมชาติช่วงฤดูฝน และมีสรรพคุณบำรุงกำลังและดับพิษร้อนในร่างกาย พบในธรรมชาติ ใช้ประกอบอาหาร ปลอดภัย
เห็ดฟาง,3,(Volvariella volvacea) เป็นเห็ดที่มีลักษณะเด่นคือมีเปลือกหุ้มที่ฐานดอกเห็ด (volva) ในระยะอ่อนจะมีรูปร่างเป็นก้อนกลมสีขาวเหมือนไข่ เมื่อโตขึ้นจะกางออกเป็นหมวกคล้ายร่ม มีสีขาวถึงสีเทาอ่อน เนื้อเห็ดนุ่ม ฉ่ำน้ำ ครีบใต้หมวกมีสีขาวเปลี่ยนเป็นสีชมพูอ่อนเมื่อแก่ ก้านสั้น ผิวดอกปกคลุมด้วยเส้นใย และพบการเจริญเติบโตบนกองฟางข้าวในสภาพอากาศร้อนชื้น พบในธรรมชาติ ใช้ประกอบอาหาร ปลอดภัย
เห็ดหูหนู,4,(Auricularia spp.) เป็นเห็ดที่มีลักษณะเป็นแผ่นวุ้นนิ่ม สีน้ำตาลอ่อนถึงดำ คล้ายใบหูคนหรือหนู ผิวด้านนอกเรียบ มีขอบเป็นลอนเล็กน้อย และด้านใต้มีขนอ่อนปกคลุม เนื้อเห็ดเหนียว มีความยืดหยุ่น และเมื่อแห้งจะหดตัว เห็ดชนิดนี้ขึ้นตามซากไม้ที่ผุพังและสามารถนำมาปรุงอาหารได้ พบในธรรมชาติ ใช้ประกอบอาหาร ปลอดภัย
เห็ดนางฟ้า / เห็ดนางรม,5,(Pleurotus spp.) เป็นเห็ดที่มีลักษณะภายนอกที่แตกต่างกันเล็กน้อย เห็ดนางรม (<Pleurotus ostreatus) มีหมวกทรงพัด มีสีขาวถึงน้ำตาลอ่อน เนื้อแน่น และมีเหงือกที่ไหลลงมาตามลำต้น เห็ดนางฟ้า (เช่น Pleurotus sajor-caju หรือ Pleurotus pulmonarius) มีลักษณะคล้ายเห็ดนางรม แต่อาจมีขนาดเล็กกว่า หรือมีสีที่แตกต่างกัน พบในธรรมชาติ ใช้ประกอบอาหาร ปลอดภัย
เห็ดขมิ้นใหญ่ / เห็ดขมิ้น,6,(Cantharellus cibarius) เป็นเห็ดที่มีลักษณะเด่นคือ หมวกเห็ดสีเหลืองถึงส้มอมเหลือง รูปทรงกรวยหรือปากแตร ตรงกลางเว้าลึกลงไปถึงโคนก้าน มี ครีบแคบๆ สันเป็นรูปส้อม แทนเกล็ดใต้หมวก และมี กลิ่นหอมคล้ายแอปริคอต พบขึ้นตามพื้นดินในป่า พบในธรรมชาติ ใช้ประกอบอาหาร ปลอดภัย
เห็ดขิง,7,(Lactarius piperatus) เป็นเห็ดสีขาวหรือขาวครีม มีหมวกบุ๋มตรงกลาง ขนาด 3-12 ซม. ผิวแห้งหรือเหนียวเล็กน้อย ครีบสีขาวถี่ มีน้ำยางสีขาวไหลเมื่อถูกตัด ซึ่งมีรสชาติเผ็ดร้อน แห้งเป็นสีเขียวอมเทา พบตามป่าในฤดูฝน และสามารถรับประทานได้หลังผ่านความร้อน พบในธรรมชาติ ใช้ประกอบอาหาร ปลอดภัย
เห็ดไข่เหลือง / เห็ดไข่ขาว,8,(Amanita hemibapha / Amanita princeps) เป็ดเห็ดมีลักษณะคล้ายคลึงกันในระยะอ่อน โดยเป็นก้อนไข่สีขาว แต่จะแตกต่างกันเมื่อดอกเห็ดเริ่มบาน โดยเห็ดไข่ขาวมีเปลือกชั้นในสีขาว แต่เห็ดไข่เหลืองจะมีเปลือกชั้นในสีเหลือง. วิธีที่ปลอดภัยที่สุดในการแยกเห็ดไข่เหลืองออกจากเห็ดพิษคือการผ่าดอกเห็ดที่ยังอ่อนอยู่และพิจารณาสีของเปลือกชั้นใน พบในธรรมชาติ ใช้ประกอบอาหาร ปลอดภัย
เห็ดน้ำผึ้ง,9,(Boletus firmus) เป็นเห็ดที่เป็นเชื้อราเบสิดิโอไมซีตและเป็นชนิดพันธุ์หนึ่งของสกุลโบเลตัส เห็ดชนิดนี้ได้รับความนิยมในฐานะเห็ดที่รับประทานได้ พบในธรรมชาติ ใช้ประกอบอาหาร ปลอดภัย
